"votants","prop_25","prop_25_64","prop_65","taux_nat","taux_mort","part_non_peu_diplomes","part_bepc_brevet","part_cap_bep","part_bac","proportion_h","proportion_f","taux_activite","part_emplois_salaries","part_agriculteurs","part_emplois_non_salaries","part_artisans","part_commercants","part_chefs_entreprise","part_cadres","part_prof_intermediaires","part_employes","part_ouvriers","part_bac2","part_bac3_4","part_bac5_plus","score_orientation","non_exp_prop_votants","nb_non_scolarises_prop_votants","niveau_vie_total_prop_votants","nb_menages_prop_votants","nb_emplois_lt_prop_votants","nb_menages_pauvres_prop_nb_menages","nb_menages_seul_prop_nb_menages","nb_menages_5plus_prop_nb_menages","nb_menages_proprietaires_prop_nb_menages","nb_menages_monoparentaux_prop_nb_menages","surface_totale_logements_prop_nb_menages","nb_logements_collectifs_prop_nb_menages","nb_logements_maisons_prop_nb_menages","nb_log_avant_1945_prop_nb_menages","nb_log_1945_1969_prop_nb_menages","nb_log_1970_1989_prop_nb_menages","nb_log_apres_1990_prop_nb_menages","nb_log_date_inconnue_prop_nb_menages","nb_logements_sociaux_prop_nb_menages"
860,23.9,48.8,27.3,8.5,11.6,26.6,8,29.4,16.7,0.507,0.493,66.7,77.8,6.6,22.2,14.4,4.2,27.8,16.8,30.2,39.8,90.7,NA,NA,NA,0.47,0.0244186046511628,1.12086590499098,NA,NA,0.203848466626578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,28.9,39.5,31.6,7.3,14.6,33.3,1.7,21.7,13.3,0.526,0.474,81.6,15.1,50,84.9,0,0,50,0,0,87.5,95.5,NA,NA,NA,0.51,0.032258064516129,0.983870967741935,NA,NA,0.209677419354839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
882,34,54,12,15.5,6.5,28.2,6.8,25.8,17.6,0.48,0.52,71,92.7,0.1,7.3,4,14.6,29.2,27.2,24.9,43.2,88.2,NA,NA,NA,0.54,0.0147392290249433,1.28055425813483,NA,NA,1.24100887435778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
680,31.8,49.6,18.6,12.7,9.9,30.7,6.5,26.7,18.2,0.504,0.496,66.8,91.5,0.1,8.5,5.1,26.8,11.2,34.4,22.4,82.3,45.8,8.2,5.8,3.9,0.67,0.0220588235294118,1.56523185819293,38985.6023705882,0.84575,0.9486675338032,0.160748378571056,0.295892959607727,0.0711985533202344,0.711397819547565,0.135782719827511,85.0171202030916,0.165662221140304,0.834337778859696,0.292272782598112,0.469612769731008,0.0860113717375806,0.1521030759333,0,0.0987550207786337
74,24.4,47.8,27.8,5.5,7.3,19.4,5.6,25,29.2,0.5,0.5,78.8,15.2,60.3,84.8,0,0,0,20.1,19.7,90.9,60,9.7,5.6,5.6,0.62,0.0405405405405405,0.945945945945946,27650.2708243243,0.476216216216216,0.175675675675676,0.150340522133939,0.190919409761634,0.14205448354143,0.853490351872872,0.104256526674234,127.102667423383,0.00893870601589103,0.991061293984109,0.663876276958002,0.0398127128263337,0.148467650397276,0.147871736662883,0,0
404,23.7,54.9,21.4,8.4,7.1,24.4,13.3,23.6,20,0.504,0.496,72.2,88.5,1.5,11.5,6.3,8.6,26.3,35.9,21.3,40.4,92.7,NA,NA,NA,0.51,0.0222772277227723,1.11881188118812,NA,NA,1.32673267326733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
793,27.1,46.4,26.5,9.4,13.1,25.6,6.3,23.9,17.1,0.487,0.513,71.5,88,0.4,12,6.4,28.4,13.6,32.2,19,87.5,53.1,9.8,8.5,8.9,0.56,0.0151324085750315,1.50600732600733,42736.3287553594,0.951137452711223,1.09611721611722,0.176224922174552,0.501011598245679,0.0627429559351517,0.467810493044765,0.114463070697857,88.8524856414037,0.589779012849817,0.410220987150183,0.52833005414636,0.179394950228836,0.0877491872742797,0.204524482533689,0,0.134449759496826
188,24.9,52.3,22.8,12.1,6.3,22.4,6.6,30.2,18.6,0.506,0.494,75.6,82.8,5.8,17.2,15.3,5.8,0,17,56.1,93.4,43.7,13.7,4.2,4.3,0.67,0.0425531914893617,1.1063829787234,37256.8791808511,0.685010638297872,0.356382978723404,0.0656458200680219,0.271520864717119,0.0657079405506981,0.810113214579677,0.0587892717926418,116.177765526238,0.103088941001072,0.896903293938594,0.459287788666118,0.11142085074001,0.095191874640866,0.334099485953006,0,0
615,28.7,55.2,16.1,11.4,4.7,20.9,6.2,28.3,18.2,0.491,0.509,73.8,73.2,2,26.8,22.6,10.2,10.3,28.8,26.2,45.2,94.3,NA,NA,NA,0.5,0.0178861788617886,1.13612565445026,NA,NA,0.157816005983545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,31.8,41.6,26.6,6.3,8.7,29.9,1.3,41.4,13.4,0.528,0.472,88.7,53,50,47,0,50,0,0,0,97,78.3,5.7,5.7,2.5,0.73,0.031496062992126,1.19685039370079,37421.6971102362,0.696614173228346,0.118110236220472,0.0810557251045552,0.30648807505369,0.110025997513281,0.904250028258167,0.0702724087261219,121.633932406465,0.036475641460382,0.963524358539618,0.464530349270939,0.0702724087261219,0.223556007686221,0.241641234316718,0,0
