Code Commune;Nom Commune;Nb -25;Nb 25-64;Nb 65+;Prop -25;Prop 25-64;Prop 65+;Taux Nat 1999-2010;Taux Mort 1999-2010
01001;L'Abergement-Clémenciat;247;409;128;31.5;52.2;16.3;13;7.1
01002;L'Abergement-de-Varey;59;124;39;26.5;56;17.5;18.6;11.4
01004;Ambérieu-en-Bugey;4793;6957;2085;34.6;50.3;15.1;14.2;7.6
01005;Ambérieux-en-Dombes;540;873;203;33.4;54;12.6;12.3;5.7
01006;Ambléon;24;69;23;20.5;59.8;19.6;8.3;9.2
01007;Ambronay;715;1294;353;30.3;54.8;14.9;13;5.9
01008;Ambutrix;234;418;77;32.1;57.4;10.5;11.6;5.3
01009;Andert-et-Condon;91;180;69;26.9;52.9;20.2;11.4;10.2
01010;Anglefort;339;507;148;34.1;51;14.9;13.5;10
01011;Apremont;114;206;42;31.4;56.9;11.7;14;4
01012;Aranc;68;162;72;22.5;53.7;23.8;10.8;11.1
01013;Arandas;45;85;34;27.5;51.9;20.6;10.5;16.7
01014;Arbent;1078;1893;505;31;54.5;14.5;12.1;7
01015;Arboys en Bugey;148;324;130;24.6;53.8;21.6;9.5;10.6
01016;Arbigny;125;211;63;31.3;52.9;15.8;11.6;13.3
01017;Argis;110;222;89;26.1;52.7;21.1;12.6;12.2
01019;Armix;3;10;7;15;50;35;0;21.2
01021;Ars-sur-Formans;477;752;138;34.9;55;10.1;11.6;4.2
01022;Artemare;299;590;237;26.6;52.4;21;10.2;10.8
01023;Asnières-sur-Saône;26;36;11;35.6;49.3;15.1;25.7;10.3
01024;Attignat;996;1579;361;33.9;53.8;12.3;13.1;4.8
01025;Bâgé-Dommartin;1306;2119;456;33.6;54.6;11.8;13.9;6
01026;Bâgé-le-Châtel;203;398;195;25.5;50;24.5;10.1;11.1
01027;Balan;999;1210;139;42.6;51.5;5.9;10.8;3.9
01028;Baneins;196;323;53;34.3;56.5;9.3;17.7;3.2
01029;Beaupont;182;341;101;29.2;54.6;16.2;10.6;8.1
01030;Beauregard;303;464;103;34.9;53.3;11.9;13.3;6.3
01031;Bellignat;1218;1833;486;34.4;51.8;13.7;14.8;4.2
01032;Béligneux;1043;1604;258;35.9;55.2;8.9;19.4;3.9
01033;Valserhône;4936;8328;2698;30.9;52.2;16.9;13.5;8.1
01034;Belley;2617;4322;1816;29.9;49.4;20.7;13.3;12
01035;Belleydoux;86;190;45;26.8;59.2;14;11;7.7
01036;Valromey-sur-Séran;317;660;273;25.4;52.8;21.9;10.3;13.7
01037;Bénonces;67;158;50;24.3;57.4;18.3;7.4;12
01038;Bény;218;401;105;30.1;55.3;14.6;12.2;5.8
01040;Béréziat;150;240;55;33.7;53.9;12.4;13.2;5.4
01041;Bettant;219;384;121;30.3;53.1;16.7;13.6;6.7
01042;Bey;71;144;30;29.1;58.7;12.1;9.4;6.3
01043;Beynost;1478;2332;665;33;52.1;14.9;10.9;6
01044;Billiat;152;270;62;31.5;55.8;12.7;11.3;4.9
01045;Birieux;87;124;25;37;52.6;10.4;18.4;4.5
01046;Biziat;254;436;107;31.8;54.7;13.5;11.3;6.8
01047;Blyes;329;476;81;37.1;53.7;9.1;15.5;5.3
01049;La Boisse;1036;1476;416;35.4;50.4;14.2;11.3;5.5
01050;Boissey;88;147;53;30.6;51;18.4;11.4;6.9
01051;Bolozon;15;59;20;16.5;62.6;20.9;6.8;16.4
01052;Bouligneux;86;160;63;27.7;51.9;20.3;5.8;7
01053;Bourg-en-Bresse;12579;19559;7950;31.4;48.8;19.8;13.5;9.6
01054;Bourg-Saint-Christophe;395;656;122;33.7;55.9;10.4;14.3;6.3
01056;Boyeux-Saint-Jérôme;83;178;60;26;55.3;18.7;13.8;10.4
01057;Boz;172;258;66;34.7;52;13.3;16.5;7.4
01058;Brégnier-Cordon;301;406;125;36.2;48.8;15;15.7;9.9
01060;Brénod;158;268;117;29.1;49.4;21.5;12.2;9.7
01061;Brens;399;653;106;34.5;56.4;9.2;11.8;7.1
