Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Nb de pers. âgées de 80 ans ou + 2015;Part des pers. âgées de 80 ans ou + 2015;Taux de natalité annuel moyen 2010-2015;Nb de pers. âgées de - de 25 ans 2015;Nb de pers. âgées de 25 à 64 ans 2015;Nb de pers. âgées de 65 ans ou + 2015;Nb de pers. âgées  de 75 ans ou plus 2015;Taux de mortalité annuel moyen 2010-2015;Part des pers. âgées de - 15 ans 2015;Part des pers. âgées de - de 25 ans 2015;Part des pers. âgées de 25 à 64 ans 2015;Part des pers. âgées de 65 ans ou + 2015;Part des pers. âgées de 75 ans ou + 2015
01001;L'Abergement-Clémenciat;32;4.2;9;230;394;143;58;6.7;21;30;51.4;18.6;7.6
01002;L'Abergement-de-Varey;11;4.5;14;69;128;44;19;6.1;22.6;28.8;53.1;18.1;7.8
01004;Ambérieu-en-Bugey;775;5.5;15.8;4638;7104;2385;1209;8.2;19.7;32.8;50.3;16.9;8.6
01005;Ambérieux-en-Dombes;58;3.6;14;514;858;247;109;5.4;20.6;31.7;53;15.3;6.7
01006;Ambléon;8;7.3;14.1;22;61;26;11;8.8;10.9;20;56.4;23.6;10
01007;Ambronay;105;4;14.3;815;1414;386;170;5.9;22.5;31.2;54.1;14.7;6.5
01008;Ambutrix;15;2.1;15.8;219;446;82;35;4.6;20.8;29.4;59.7;10.9;4.7
01009;Andert-et-Condon;18;5.3;8.2;94;173;75;32;5.9;19.3;27.6;50.4;21.9;9.5
01010;Anglefort;44;3.9;9.9;360;593;180;77;6.3;23.8;31.7;52.4;15.9;6.8
01011;Apremont;5;1.3;11.8;118;204;67;17;6.4;23.1;30.3;52.4;17.3;4.3
01012;Aranc;28;8.6;11.5;87;154;85;46;10.3;20.6;26.7;47.2;26.1;14.1
01013;Arandas;4;2.8;12.6;42;80;31;12;5;18.8;27.8;52.1;20.1;7.6
01014;Arbent;165;4.9;10.7;991;1719;682;253;5.9;19.1;29.2;50.7;20.1;7.5
01015;Arboys en Bugey;37;5.9;8.8;174;316;147;63;7.8;17.4;27.3;49.6;23.1;10
01016;Arbigny;22;4.9;13.3;147;220;86;39;6.7;24.1;32.5;48.6;19;8.6
01017;Argis;27;6.2;16.9;119;220;94;42;8.9;21.9;27.4;50.9;21.7;9.6
01019;Armix;1;4.2;18.6;5;13;6;2;27.9;12.5;20.8;54.2;25;8.3
01021;Ars-sur-Formans;43;3.2;12.4;442;752;176;75;4.8;21;32.2;54.9;12.9;5.5
01022;Artemare;89;7.3;9.5;315;614;282;148;9.7;16.6;26;50.7;23.3;12.2
01023;Asnières-sur-Saône;3;4.5;14.4;16;39;10;4;11.5;18.2;24.2;60.6;15.2;6.1
01024;Attignat;127;3.8;14.4;1082;1709;537;208;4.6;21.9;32.5;51.4;16.1;6.3
01025;Bâgé-Dommartin;149;3.7;12.6;1338;2179;545;244;5.6;23.3;32.9;53.6;13.4;6
01026;Bâgé-le-Châtel;98;10.9;9.8;258;404;240;136;13.9;15.9;28.6;44.8;26.6;15.1
01027;Balan;33;1.1;11;946;1847;204;62;2.8;13.9;31.6;61.6;6.8;2.1
01028;Baneins;18;3;12.4;181;336;80;33;3.8;21.1;30.3;56.3;13.4;5.5
01029;Beaupont;42;6.1;13;177;386;119;56;9;18.4;26;56.6;17.4;8.3
01030;Beauregard;27;3.1;14.1;293;492;103;54;5.9;22.5;33;55.4;11.6;6
01031;Bellignat;147;4.1;14.7;1158;1844;610;251;5.6;20.2;32;51.1;16.9;7
01032;Béligneux;142;4.3;19.1;1205;1716;379;195;6.4;26;36.5;52;11.5;5.9
01033;Valserhône;833;5.1;14.2;5124;8540;2639;1290;8;20.7;31.4;52.4;16.2;7.9
01034;Belley;811;9;13.7;2663;4357;2038;1156;12.9;18.7;29.4;48.1;22.5;12.8
01035;Belleydoux;17;5.4;11.9;74;194;47;22;8.2;15.6;23.5;61.6;14.9;7
01036;Valromey-sur-Séran;78;6.2;7.8;315;645;315;130;11.3;17.4;24.7;50.6;24.7;10.2
01037;Bénonces;17;5.8;13.6;80;144;64;21;8.6;18.7;27.9;50;22.1;7.4
01038;Bény;36;4.9;11.2;227;383;136;66;6;20.5;30.4;51.3;18.2;8.8
01040;Béréziat;15;3.1;13.5;161;261;62;34;5.2;24;33.3;53.9;12.8;7
01041;Bettant;41;5.4;17.4;207;414;132;63;8.2;19.1;27.5;55;17.5;8.4
01042;Bey;11;4;7.1;76;151;44;17;7.1;18.8;27.9;55.8;16.3;6.2
01043;Beynost;206;4.5;9.4;1445;2295;789;350;5.8;19.1;31.9;50.7;17.4;7.7
01044;Billiat;16;2.7;13.6;198;318;85;33;3.8;23.3;33;52.9;14.1;5.4
01045;Birieux;6;2.1;21.1;100;159;28;10;3.1;28.6;35;55.4;9.6;3.6
01046;Biziat;36;4.3;14.5;274;450;115;58;5.7;23.4;32.6;53.7;13.7;7
01047;Blyes;28;2.8;12.7;355;538;107;45;4.1;24;35.5;53.8;10.7;4.5
01049;La Boisse;115;3.9;10;952;1510;475;216;5;20.3;32.4;51.4;16.2;7.4
01050;Boissey;19;5.7;16.4;108;176;47;32;7.9;25.7;32.6;53.2;14.2;9.7
01051;Bolozon;7;7.9;15.2;13;49;27;10;2.2;13.5;14.6;55.1;30.3;11.2
01052;Bouligneux;17;5.5;8.4;84;152;73;33;3.9;14.9;27.1;49.1;23.8;10.7
01053;Bourg-en-Bresse;3410;8.4;13.1;12477;19462;8879;4863;10.2;16;30.6;47.7;21.8;11.9
01054;Bourg-Saint-Christophe;38;2.9;15;423;729;132;65;4.6;24.7;32.9;56.8;10.3;5
01056;Boyeux-Saint-Jérôme;17;4.6;14.8;101;182;78;29;4.2;22;28;50.3;21.7;8.1
01057;Boz;21;4.1;9.5;171;271;74;32;6.4;22.3;33.1;52.5;14.3;6.2
01058;Brégnier-Cordon;33;3.9;10;291;417;148;54;7.4;23.4;34;48.7;17.3;6.3
01060;Brénod;51;9.4;11.8;140;260;136;66;10;15.3;26.1;48.5;25.3;12.4
01061;Brens;23;2;12.6;374;639;158;45;5.2;22.3;31.9;54.6;13.5;3.8
01062;Bressolles;26;3;13.2;279;467;126;46;3.9;21.3;32;53.6;14.5;5.3
01063;Brion;20;3.9;5.8;134;259;122;40;4.6;17.9;26;50.3;23.7;7.8
01064;Briord;30;3;11.3;319;572;109;50;8.3;20.5;31.9;57.2;10.9;5
01065;Buellas;61;3.4;11.3;536;920;315;118;4.6;19.6;30.3;51.9;17.8;6.7
01066;La Burbanche;3;4.2;25.1;16;38;17;9;11.2;14.1;22.5;53.5;23.9;12.7
01067;Ceignes;16;6.1;13;82;145;29;17;7.7;20.9;31.9;56.7;11.4;6.5
01068;Cerdon;81;10.4;11.4;229;384;166;107;23;20.4;29.4;49.3;21.3;13.7
01069;Certines;27;1.7;11.2;508;881;163;60;4.7;21.3;32.7;56.8;10.5;3.9
01071;Cessy;75;1.6;11;1615;2781;421;144;2.9;23.1;33.5;57.7;8.7;3
01072;Ceyzériat;189;6.1;11.7;941;1624;553;287;9.6;20.7;30.2;52.1;17.7;9.2
01073;Ceyzérieu;56;5.5;9.6;259;558;199;92;8.5;17.8;25.5;54.9;19.6;9.1
01074;Chalamont;195;8.1;13.4;796;1159;453;246;13;22.3;33.1;48.1;18.8;10.2
01075;Chaleins;29;2.3;12.4;429;710;131;44;3.6;22.4;33.8;55.9;10.3;3.5
01076;Chaley;9;6.2;3;22;74;48;19;9;9.2;15.4;51.5;33.1;13.1
01077;Challes-la-Montagne;10;5.2;16.4;47;106;36;17;13.1;20.7;24.9;56;19.2;8.8
01078;Challex;77;5.6;11.2;401;743;226;103;12.8;20.7;29.3;54.2;16.5;7.5
01079;Champagne-en-Valromey;128;15.6;7.9;205;352;262;164;26.2;17.4;25;43;32;20
01080;Champdor-Corcelles;33;4.9;12.2;184;341;137;55;7;20.6;27.8;51.5;20.7;8.3
01081;Champfromier;30;4.1;9.4;221;403;111;48;5.7;18.9;30.1;54.9;15;6.6
01082;Chanay;16;2.5;8;267;295;78;33;3.2;24.4;41.7;46.2;12.1;5.1
01083;Chaneins;26;2.9;10.9;285;481;116;51;4.7;21.6;32.3;54.6;13.1;5.8
01084;Chanoz-Châtenay;33;4.1;17.7;257;437;110;53;5.6;23.8;32;54.4;13.7;6.6
01085;La Chapelle-du-Châtelard;15;3.9;15.7;118;209;56;25;4.5;23.3;30.7;54.5;14.7;6.5
01087;Charix;12;4.2;6.9;82;145;58;28;8.3;18.9;28.8;50.9;20.4;9.8
01088;Charnoz-sur-Ain;19;2;8.7;312;543;77;30;2.6;20.1;33.5;58.3;8.2;3.2
01089;Château-Gaillard;49;2.4;13.1;678;1124;251;101;5.4;22.7;33;54.7;12.2;4.9
01090;Châtenay;14;4.1;11.6;94;179;61;21;5.2;19.3;28.2;53.5;18.3;6.2
01092;Châtillon-la-Palud;49;3.1;10.9;501;825;240;101;6.7;22.4;32;52.7;15.3;6.5
01093;Châtillon-sur-Chalaronne;546;11.1;10.6;1350;2228;1337;784;11.9;16.3;27.5;45.3;27.2;16
01094;Chavannes-sur-Reyssouze;47;6.2;11.3;214;404;131;77;9.3;19.7;28.6;54;17.5;10.3
01095;Nivigne et Suran;35;4.4;12.9;268;404;127;56;7.3;23;33.5;50.6;15.9;7
01096;Chaveyriat;46;4.6;14.2;322;552;129;69;6.5;21.5;32.1;55;12.9;6.8
01098;Chazey-Bons;46;4.4;9.5;303;540;210;89;9.7;18.6;28.8;51.3;20;8.5
01099;Chazey-sur-Ain;72;4.7;11.6;461;849;206;110;8.2;20.5;30.4;56;13.6;7.3
01100;Cheignieu-la-Balme;11;7.9;4;27;77;35;18;17.4;12.2;19.4;55.4;25.2;12.9
01101;Chevillard;14;9;15;38;94;24;16;7.5;14.1;24.4;60.3;15.4;10.3
01102;Chevroux;38;4;13.8;321;528;115;66;5.1;24;33.3;54.7;12;6.8
01103;Chevry;28;1.8;7.7;506;866;153;51;3.7;23.3;33.2;56.8;10;3.3
01104;Chézery-Forens;24;5.2;9.5;141;238;81;33;5.9;20.4;30.7;51.7;17.6;7.2
01105;Civrieux;47;3;9.3;501;854;191;75;3.3;18.7;32.4;55.3;12.3;4.8
01106;Cize;19;11;9.4;55;71;44;34;4.7;23.7;32.4;41.6;26;19.7
01107;Cleyzieu;3;2.2;5.9;33;72;30;8;4.4;18.5;24.4;53.3;22.2;5.9
01108;Coligny;153;12.9;8.6;288;535;370;198;17.1;16.4;24.2;44.9;31;16.6
01109;Collonges;40;1.8;9.5;760;1273;162;62;3.7;25.9;34.6;58;7.4;2.8
01110;Colomieu;14;10.8;11.6;26;73;31;16;8.3;14.6;20;56.2;23.8;12.3
01111;Conand;5;4.2;21.9;39;61;18;9;9.1;28;33.1;51.7;15.3;7.6
01112;Condamine;14;3.4;12.2;137;242;36;18;5.9;24.8;33;58.3;8.7;4.3
01113;Condeissiat;49;5.9;13;270;434;127;78;7.4;22;32.5;52.2;15.3;9.4
01114;Confort;68;11.5;12.3;154;281;156;88;34.5;21.2;26;47.5;26.4;14.9
01115;Confrançon;40;3;18;437;721;171;64;6;22;32.9;54.2;12.8;4.8
01116;Contrevoz;35;7;9.5;125;256;122;57;6.1;17.9;24.8;51;24.3;11.3
01117;Conzieu;4;2.7;10;49;79;18;9;7.2;25.9;33.3;54.4;12.2;6.1
01118;Corbonod;85;6.8;8.6;334;659;253;124;19.6;18.8;26.8;52.9;20.3;9.9
01121;Corlier;7;6;3.4;37;57;16;11;6.7;19;33.6;51.7;14.7;9.5
01123;Cormoranche-sur-Saône;60;5.5;9.9;335;560;207;96;6.3;21.5;30.4;50.8;18.8;8.7
01124;Cormoz;40;6;14.4;182;334;147;65;13.7;17.8;27.5;50.4;22.2;9.8
01125;Corveissiat;19;3.1;9.2;196;328;98;37;7.2;21.4;31.5;52.7;15.8;6
01127;Courmangoux;32;6.3;13.8;131;270;103;51;7.1;19.3;26;53.7;20.4;10.1
