Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Taux de natalité annuel moyen 2015-2021;Taux de mortalité annuel moyen 2015-2021;Part des pers. âgées de - 15 ans 2021;Nb de pers. âgées de - de 25 ans 2021;Part des pers. âgées de - de 25 ans 2021;Nb de pers. âgées de 25 à 64 ans 2021;Part des pers. âgées de 25 à 64 ans 2021;Nb de pers. âgées de 65 ans ou + 2021;Part des pers. âgées de 65 ans ou + 2021;Nb de pers. âgées  de 75 ans ou plus 2021;Part des pers. âgées de 75 ans ou + 2021;Nb de pers. âgées de 80 ans ou + 2021;Part des pers. âgées de 80 ans ou + 2021
01001;L'Abergement-Clémenciat;10.9;6.9;19.1;223;26.8;444;53.4;165;19.8;73;8.8;42;5.1
01002;L'Abergement-de-Varey;11.9;5.3;21.4;82;30.9;138;51.6;47;17.6;22;8.1;17;6.3
01004;Ambérieu-en-Bugey;15.4;9.2;18.8;4779;32.2;7365;49.6;2709;18.2;1341;9;766;5.2
01005;Ambérieux-en-Dombes;10.7;4.8;19.4;538;28.3;1045;55.1;314;16.6;135;7.1;83;4.4
01006;Ambléon;9;9;8.8;18;15.8;63;56.1;32;28.1;8;7;6;5.3
01007;Ambronay;11.7;5.6;21.8;866;30.6;1494;52.7;473;16.7;199;7;113;4
01008;Ambutrix;10.8;5.1;17.8;218;28.3;444;57.8;106;13.8;38;4.9;21;2.7
01009;Andert-et-Condon;6.5;9;15.2;78;24.2;151;46.8;93;29;43;13.5;25;7.9
01010;Anglefort;10.5;6;20.8;344;30.6;598;53.1;183;16.3;88;7.8;49;4.4
01011;Apremont;11.2;3.4;22.5;122;31.8;187;48.8;74;19.4;27;7;12;3.2
01012;Aranc;8.7;14.3;18;82;25.1;168;51.5;76;23.3;35;10.6;23;6.9
01013;Arandas;6.8;14.6;10.1;31;21.7;72;50.7;39;27.5;15;10.9;7;5.1
01014;Arbent;8.8;7.1;17.8;971;28.5;1663;48.8;775;22.7;342;10;189;5.5
01015;Arboys en Bugey;8.5;11.5;15.3;166;24.9;330;49.5;171;25.6;77;11.5;39;5.8
01016;Arbigny;11.3;7.3;22;135;29.3;225;48.9;100;21.7;39;8.4;26;5.6
01017;Argis;8.9;11.2;17.9;117;27;211;48.9;104;24.1;41;9.5;25;5.9
01019;Armix;6.7;20.1;11.5;5;19.2;13;50;8;30.8;2;7.7;0;0
01021;Ars-sur-Formans;10.5;4.9;19.2;459;30.6;791;52.8;248;16.5;84;5.6;51;3.4
01022;Artemare;5.4;11.7;14.5;295;25.1;551;46.8;331;28.1;163;13.9;97;8.3
01023;Asnières-sur-Saône;21.7;7.2;17.1;20;26.3;43;55.3;14;18.4;3;3.9;2;2.6
01024;Attignat;10.9;4.4;20;1000;30;1703;51;634;19;297;8.9;166;5
