Insee - Statistiques locales; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; 
Code;Libellé;Nb d'hommes de 15 à 64 ans par tranche d'âge 2010;Nb d'hommes de 15 à 64 ans par tranche d'âge 2010;Nb d'hommes de 15 à 64 ans par tranche d'âge 2010;Nb d'hommes de 15 à 64 ans par tranche d'âge 2010;Nb de femmes de 15 à 64 ans par tranche d'âge 2010;Nb de femmes de 15 à 64 ans par tranche d'âge 2010;Nb de femmes de 15 à 64 ans par tranche d'âge 2010;Nb de femmes de 15 à 64 ans par tranche d'âge 2010
01001;L'Abergement-Clémenciat;245;35;163;47;231;32;148;51
01002;L'Abergement-de-Varey;72;7;51;14;69;10;45;13
01004;Ambérieu-en-Bugey;4523;993;2852;679;4328;901;2716;710
01005;Ambérieux-en-Dombes;550;106;347;97;530;101;338;91
01006;Ambléon;44;8;26;9;37;3;23;11
01007;Ambronay;780;124;501;154;748;109;494;144
01008;Ambutrix;263;49;176;38;247;43;163;41
01009;Andert-et-Condon;105;15;65;25;105;14;68;23
01010;Anglefort;312;51;202;60;293;47;192;53
01011;Apremont;121;15;72;34;119;18;75;25
01012;Aranc;86;9;52;25;89;5;65;19
01013;Arandas;48;5;33;10;47;5;31;11
01014;Arbent;1152;208;686;258;1106;157;660;289
01015;Arboys en Bugey;177;20;106;51;189;21;119;49
01016;Arbigny;134;21;81;32;116;18;73;25
01017;Argis;125;17;81;27;134;20;83;31
01019;Armix;6;0;2;4;4;0;2;2
01021;Ars-sur-Formans;468;85;300;83;445;76;283;85
01022;Artemare;350;59;217;73;339;40;224;75
01023;Asnières-sur-Saône;23;4;15;4;20;3;13;4
01024;Attignat;944;153;622;169;932;143;633;156
01025;Bâgé-Dommartin;1278;211;849;217;1231;179;835;217
01026;Bâgé-le-Châtel;243;52;143;48;244;37;151;56
01027;Balan;1281;513;671;97;593;151;340;102
01028;Baneins;192;30;116;46;190;29;126;35
01029;Beaupont;205;30;136;39;192;26;134;32
01030;Beauregard;285;60;173;52;295;57;194;44
01031;Bellignat;1187;298;645;244;1154;210;703;241
01032;Béligneux;978;171;667;139;969;172;648;149
01033;Valserhône;5045;803;3363;879;5004;918;3215;872
01034;Belley;2647;515;1638;493;2666;476;1647;543
01035;Belleydoux;114;13;82;19;102;13;68;21
01036;Valromey-sur-Séran;367;48;241;79;376;35;242;99
01037;Bénonces;100;10;64;26;76;8;49;19
01038;Bény;239;32;149;58;221;27;145;49
01040;Béréziat;141;20;103;18;137;18;101;18
01041;Bettant;233;47;150;37;234;37;161;37
01042;Bey;88;14;50;25;81;12;45;25
01043;Beynost;1432;280;884;268;1416;236;914;266
01044;Billiat;160;24;100;36;159;25;103;31
01045;Birieux;80;14;54;11;69;10;47;11
01046;Biziat;254;36;175;43;262;44;179;39
01047;Blyes;299;53;212;34;274;44;188;42
01049;La Boisse;922;185;574;163;919;180;594;145
01050;Boissey;95;14;67;14;74;8;58;8
01051;Bolozon;35;5;22;8;31;2;22;7
01052;Bouligneux;94;13;61;20;92;12;51;29
01053;Bourg-en-Bresse;12953;3297;7370;2286;12964;3061;7420;2483
01054;Bourg-Saint-Christophe;372;52;260;59;392;56;284;52
01056;Boyeux-Saint-Jérôme;103;8;65;30;89;6;57;25
01057;Boz;156;22;110;24;148;24;103;21
01058;Brégnier-Cordon;254;47;159;48;235;36;152;47
01060;Brénod;156;26;84;46;158;20;99;39
01061;Brens;394;60;238;96;364;45;238;81
01062;Bressolles;238;40;141;57;226;35;135;56
01063;Brion;176;26;100;51;157;21;95;42
01064;Briord;300;48;199;53;287;35;211;41
01065;Buellas;546;95;329;122;558;90;341;127
01066;La Burbanche;26;4;16;5;22;4;12;5
01067;Ceignes;88;14;61;13;82;10;65;7
01068;Cerdon;216;23;154;39;209;37;132;40
01069;Certines;503;83;341;80;488;81;333;75
01071;Cessy;1336;211;943;182;1404;224;987;192
01072;Ceyzériat;866;163;556;147;894;132;565;197
01073;Ceyzérieu;308;44;187;77;286;27;194;66
01074;Chalamont;715;119;483;112;701;140;465;96
01075;Chaleins;411;83;257;71;396;73;252;71
01076;Chaley;36;3;22;12;36;4;20;13
01077;Challes-la-Montagne;57;7;30;20;55;9;29;17
01078;Challex;398;63;260;75;400;41;273;86
01079;Champagne-en-Valromey;218;39;126;53;187;23;123;41
01080;Champdor-Corcelles;219;32;147;40;218;22;152;44
01081;Champfromier;236;34;152;50;226;40;146;40
01082;Chanay;179;45;105;30;205;60;113;31
01083;Chaneins;271;40;191;39;257;44;179;34
01084;Chanoz-Châtenay;223;31;163;29;214;22;156;36
01085;La Chapelle-du-Châtelard;107;10;79;18;114;15;71;28
01087;Charix;96;17;62;17;80;11;54;15
