Insee - Statistiques locales; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; 
Code;Libellé;Nb de femmes de 15 à 64 ans par tranche d'âge 2021;Nb d'hommes de 15 à 64 ans par tranche d'âge 2021;Nb d'hommes de 15 à 64 ans par tranche d'âge 2021;Nb d'hommes de 15 à 64 ans par tranche d'âge 2021;Nb d'hommes de 15 à 64 ans par tranche d'âge 2021;Nb de femmes de 15 à 64 ans par tranche d'âge 2021;Nb de femmes de 15 à 64 ans par tranche d'âge 2021;Nb de femmes de 15 à 64 ans par tranche d'âge 2021
01001;L'Abergement-Clémenciat;62;254;31;159;63;255;33;159
01002;L'Abergement-de-Varey;13;87;17;58;11;76;8;55
01004;Ambérieu-en-Bugey;956;4631;1019;2795;817;4724;971;2798
01005;Ambérieux-en-Dombes;127;605;84;387;134;610;86;397
01006;Ambléon;10;42;5;23;14;30;3;17
01007;Ambronay;171;863;122;567;174;879;126;582
01008;Ambutrix;48;267;40;173;54;259;41;170
01009;Andert-et-Condon;21;89;14;54;21;91;14;56
01010;Anglefort;74;352;54;223;75;355;56;226
01011;Apremont;20;119;22;74;23;104;14;69
01012;Aranc;31;94;14;61;19;98;9;58
01013;Arandas;8;52;13;25;14;36;3;25
01014;Arbent;207;1053;209;602;242;973;154;611
01015;Arboys en Bugey;46;191;31;115;45;203;33;124
01016;Arbigny;22;128;17;86;25;130;17;91
01017;Argis;27;128;16;87;25;122;23;72
01019;Armix;4;8;1;4;3;7;1;2
01021;Ars-sur-Formans;101;482;91;304;88;481;81;298
01022;Artemare;86;324;69;180;75;351;56;209
01023;Asnières-sur-Saône;7;26;6;14;6;23;1;15
01024;Attignat;209;1001;170;623;208;1033;161;663
01025;Bâgé-Dommartin;265;1263;204;804;256;1273;193;816
01026;Bâgé-le-Châtel;65;273;44;170;59;282;39;178
01027;Balan;109;1136;389;630;118;769;183;477
01028;Baneins;49;171;26;104;40;189;21;119
01029;Beaupont;48;240;36;144;59;219;39;132
01030;Beauregard;63;252;43;154;55;288;47;178
01031;Bellignat;231;1128;276;662;190;1118;237;650
01032;Béligneux;176;1011;160;686;165;1068;179;713
01033;Valserhône;956;5192;891;3420;882;5159;839;3365
01034;Belley;641;2631;548;1533;550;2655;468;1546
01035;Belleydoux;30;100;7;62;31;95;10;56
01036;Valromey-sur-Séran;124;375;52;213;111;378;42;212
01037;Bénonces;19;112;14;74;24;79;8;52
01038;Bény;55;238;49;140;49;224;34;135
01040;Béréziat;29;158;26;97;35;148;24;95
01041;Bettant;60;239;38;157;45;245;33;152
01042;Bey;19;97;12;59;26;87;13;55
01043;Beynost;321;1497;301;868;328;1535;258;956
01044;Billiat;31;203;40;134;30;194;36;127
01045;Birieux;12;91;14;66;11;85;8;65
01046;Biziat;62;287;48;178;61;293;54;178
01047;Blyes;58;450;72;297;81;410;60;292
01049;La Boisse;231;1051;197;641;213;1054;163;660
01050;Boissey;21;118;16;77;24;116;20;74
01051;Bolozon;7;27;3;18;6;27;2;18
01052;Bouligneux;33;91;10;55;27;96;11;52
01053;Bourg-en-Bresse;2632;12546;3048;7319;2178;12715;2834;7248
01054;Bourg-Saint-Christophe;80;492;73;329;91;479;55;345
01056;Boyeux-Saint-Jérôme;16;104;18;69;17;95;12;67
01057;Boz;31;154;21;104;29;161;24;106
01058;Brégnier-Cordon;52;245;43;149;53;241;40;149
01060;Brénod;33;149;26;92;31;145;18;94
01061;Brens;96;333;44;200;89;362;58;208
01062;Bressolles;61;322;64;199;59;296;33;202
01063;Brion;33;155;25;98;33;176;39;104
01064;Briord;87;358;41;249;68;376;52;237
01065;Buellas;135;562;86;343;133;556;66;355
01066;La Burbanche;7;31;3;17;11;29;5;16
01067;Ceignes;25;94;14;61;18;94;14;55
01068;Cerdon;42;239;37;156;46;221;44;135
01069;Certines;119;505;84;303;118;513;84;310
01071;Cessy;310;1724;248;1170;306;1848;263;1274
01072;Ceyzériat;241;952;167;580;206;1010;137;632
01073;Ceyzérieu;91;294;46;171;77;293;34;169
01074;Chalamont;137;785;166;479;141;758;117;504
01075;Chaleins;102;484;92;299;92;460;70;288
01076;Chaley;16;37;4;20;13;37;3;18
01077;Challes-la-Montagne;10;49;7;38;4;48;6;32
01078;Challex;88;501;69;343;90;497;63;347
01079;Champagne-en-Valromey;61;197;28;111;58;209;27;122
01080;Champdor-Corcelles;46;195;33;110;52;179;16;118
01081;Champfromier;46;229;39;133;56;219;25;147
01082;Chanay;44;183;34;105;44;194;48;102
01083;Chaneins;54;336;52;215;69;313;47;212
01084;Chanoz-Châtenay;46;276;35;195;45;275;36;192
01085;La Chapelle-du-Châtelard;21;130;20;85;25;117;16;80
01087;Charix;19;92;16;53;22;83;15;49
01088;Charnoz-sur-Ain;67;330;51;205;74;301;48;186
01089;Château-Gaillard;136;725;121;475;130;718;96;486
01090;Châtenay;26;97;12;60;26;105;18;61
01092;Châtillon-la-Palud;94;498;85;323;91;516;80;342
01093;Châtillon-sur-Chalaronne;337;1379;289;826;264;1464;255;871
01094;Chavannes-sur-Reyssouze;53;247;46;144;57;220;28;139
01095;Nivigne et Suran;55;260;59;145;57;254;48;152
01096;Chaveyriat;84;339;53;201;85;330;55;191
01098;Chazey-Bons;77;360;56;227;77;346;46;223
01099;Chazey-sur-Ain;101;530;71;354;105;499;64;334
01100;Cheignieu-la-Balme;8;35;4;21;10;30;6;16
01101;Chevillard;13;50;5;32;14;47;1;34
01102;Chevroux;60;317;47;209;62;301;35;205
01103;Chevry;78;756;96;568;91;768;88;602
01104;Chézery-Forens;28;145;18;101;25;139;26;85
01105;Civrieux;114;620;94;395;131;638;101;423
01106;Cize;10;50;5;32;13;50;8;32
01107;Cleyzieu;8;49;4;33;12;30;2;20
01108;Coligny;71;321;59;206;56;326;50;205
01109;Collonges;97;761;130;537;94;739;118;524
01110;Colomieu;14;49;7;28;14;52;6;32
01111;Conand;7;44;7;29;8;34;4;22
01112;Condamine;24;161;28;105;27;155;18;112
01113;Condeissiat;51;249;37;148;64;258;37;170
01114;Confort;34;169;15;126;28;187;27;126
01115;Confrançon;70;453;79;292;82;424;64;290
01116;Contrevoz;37;136;12;89;35;131;10;83
01117;Conzieu;9;39;2;30;8;40;5;27
01118;Corbonod;84;424;63;254;107;375;49;242
01121;Corlier;5;40;5;24;11;40;11;24
01123;Cormoranche-sur-Saône;66;356;60;218;79;333;39;228
01124;Cormoz;42;219;23;145;51;203;30;131
01125;Corveissiat;41;186;25;127;33;185;21;124
01127;Courmangoux;28;147;14;97;36;131;15;88
01128;Courtes;21;92;17;55;19;84;8;55
01129;Crans;21;83;10;49;24;84;6;57
01130;Bresse Vallons;141;750;144;461;145;735;116;479
01133;Cressin-Rochefort;37;123;14;70;40;118;13;68
01134;Crottet;127;545;88;327;130;558;85;346
01135;Crozet;117;780;113;547;120;717;87;513
01136;Cruzilles-lès-Mépillat;60;307;63;184;60;296;44;191
01138;Culoz-Béon;241;1026;166;637;222;1004;160;603
01139;Curciat-Dongalon;32;122;16;73;33;126;20;75
01140;Curtafond;55;233;38;135;60;232;34;143
01141;Cuzieu;35;129;23;76;29;133;23;75
01142;Dagneux;297;1498;306;919;273;1510;283;930
01143;Divonne-les-Bains;555;3022;408;2104;509;3254;450;2249
01145;Dompierre-sur-Veyle;109;397;69;224;104;375;58;209
01146;Dompierre-sur-Chalaronne;26;139;29;82;28;143;34;83
01147;Domsure;32;156;25;101;30;155;22;101
01148;Dortan;142;578;92;338;148;600;92;365
01149;Douvres;78;349;59;206;84;349;62;209
01150;Drom;15;75;10;46;19;70;9;46
01151;Druillat;69;348;50;227;71;327;57;201
01152;Échallon;49;270;46;166;58;234;32;153
01153;Échenevex;124;650;85;455;110;678;75;479
01155;Évosges;15;47;9;25;13;42;1;26
01156;Faramans;62;288;41;173;74;267;38;168
01157;Fareins;163;717;118;448;151;737;119;454
01158;Farges;60;369;63;235;71;331;48;223
01159;Feillens;235;1051;172;621;258;1021;130;655
